"id";"dep_id";"div_id";"designation_name";"status";"created_by";"created_on";"modified_by";"modified_on"
"1";"1";"1";"Managing Director";"1";"2";"0000-00-00";"2";"0000-00-00"
"2";"1";"1";"Director";"1";"2";"0000-00-00";"2";"0000-00-00"
"3";"2";"2";"General Manager Operations";"1";"2";"0000-00-00";"2";"0000-00-00"
"4";"2";"3";"PHP Trainee";"1";"2";"0000-00-00";"2";"0000-00-00"
"5";"2";"5";"Analytics RPA Developer";"1";"2";"0000-00-00";"2";"0000-00-00"
"6";"2";"3";"PHP Developer";"1";"2";"0000-00-00";"2";"0000-00-00"
"7";"2";"4";"Mobile APP Developer";"1";"2";"0000-00-00";"2";"0000-00-00"
"8";"4";"6";"Accounts Executive";"1";"2";"0000-00-00";"2";"0000-00-00"
"9";"5";"9";"HR Executive";"1";"2";"0000-00-00";"2";"0000-00-00"
"10";"5";"8";"HR Trainee";"1";"2";"0000-00-00";"2";"0000-00-00"
"11";"7";"7";"Accounts Onsite";"1";"2";"0000-00-00";"2";"0000-00-00"
